id,uid,title,createdAt,timeStatus,eventTypeId,eventLength,startTime,endTime,paid,userEmail,username
10043,1061d401-ac61-407b-8fac-6f56dead90b2,Single Event,Wed Nov 08 2023 14:29:17 GMT-0500 (Eastern Standard Time),completed,22,60,Thu Nov 09 2023 14:29:17 GMT-0500 (Eastern Standard Time),Thu Nov 09 2023 15:12:17 GMT-0500 (Eastern Standard Time),false,insightsuser@example.com,insights-user
10052,291d4b7c-450d-44e8-85a0-5a6b3d07df79,Single Event Admin,Thu Nov 23 2023 14:33:17 GMT-0500 (Eastern Standard Time),completed,21,60,Fri Nov 24 2023 14:33:17 GMT-0500 (Eastern Standard Time),Fri Nov 24 2023 15:04:17 GMT-0500 (Eastern Standard Time),false,insights@example.com,insights-admin
10057,2a67523d-44f5-4c88-94c0-277beb8f694b,Single Event,Thu Nov 30 2023 07:44:17 GMT-0500 (Eastern Standard Time),completed,22,60,Fri Dec 01 2023 07:44:17 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 08:13:17 GMT-0500 (Eastern Standard Time),false,insightsuser@example.com,insights-user
10077,d02e7b2c-bad8-4320-b034-c1f2495abb63,Single Event,Mon Nov 06 2023 07:41:17 GMT-0500 (Eastern Standard Time),completed,22,60,Tue Nov 07 2023 07:41:17 GMT-0500 (Eastern Standard Time),Tue Nov 07 2023 08:29:17 GMT-0500 (Eastern Standard Time),false,insightsuser@example.com,insights-user
10086,fd3039c6-7bf2-4a03-b1b3-cc316b728b2d,Single Event Admin,Sat Nov 04 2023 18:21:17 GMT-0400 (Eastern Daylight Time),completed,21,60,Sun Nov 05 2023 18:21:17 GMT-0500 (Eastern Standard Time),Sun Nov 05 2023 19:18:17 GMT-0500 (Eastern Standard Time),false,insights@example.com,insights-admin
10090,be8c9757-2e27-4c3a-b745-2d80336a412c,Single Event,Sat Nov 11 2023 17:26:17 GMT-0500 (Eastern Standard Time),completed,22,60,Sun Nov 12 2023 17:26:17 GMT-0500 (Eastern Standard Time),Sun Nov 12 2023 17:53:17 GMT-0500 (Eastern Standard Time),false,insightsuser@example.com,insights-user
10111,e4d3e9d2-1890-43d1-876d-d0ebfe0b3a74,Single Event,Mon Nov 13 2023 07:29:17 GMT-0500 (Eastern Standard Time),completed,22,60,Tue Nov 14 2023 07:29:17 GMT-0500 (Eastern Standard Time),Tue Nov 14 2023 07:43:17 GMT-0500 (Eastern Standard Time),false,insightsuser@example.com,insights-user
10117,55d4ee61-1032-4fab-bf97-52fac4d968a3,Single Event Admin,Wed Nov 15 2023 12:17:17 GMT-0500 (Eastern Standard Time),completed,21,60,Thu Nov 16 2023 12:17:17 GMT-0500 (Eastern Standard Time),Thu Nov 16 2023 13:07:17 GMT-0500 (Eastern Standard Time),false,insights@example.com,insights-admin
10134,888afced-9fe5-4daa-8749-b86bd517de23,Single Event,Wed Nov 29 2023 01:52:17 GMT-0500 (Eastern Standard Time),rescheduled,22,60,Thu Nov 30 2023 01:52:17 GMT-0500 (Eastern Standard Time),Thu Nov 30 2023 02:20:17 GMT-0500 (Eastern Standard Time),false,insightsuser@example.com,insights-user
10138,71c8851f-3b97-4e16-971a-e9e5a1bd3d85,Single Event,Fri Nov 24 2023 17:10:17 GMT-0500 (Eastern Standard Time),completed,22,60,Sat Nov 25 2023 17:10:17 GMT-0500 (Eastern Standard Time),Sat Nov 25 2023 17:37:17 GMT-0500 (Eastern Standard Time),false,insightsuser@example.com,insights-user
